date,description,montant
01/11/2023,NETFLIX SERVICES ABONNEMENT,-15.99
03/11/2023,SPOTIFY AB STOCKHOLM SUEDE,-9.99
10/11/2023,BASIC FIT SALLE DE SPORT,-29.99
12/11/2023,ADOBE CREATIVE CLOUD,-59.99
15/11/2023,MICROSOFT 365 FAMILLE,-10.00
20/11/2023,ORANGE INTERNET FIBRE,-39.99
25/11/2023,EDF ELECTRICITE MENSUEL,-85.50
01/12/2023,NETFLIX SERVICES ABONNEMENT,-15.99
03/12/2023,SPOTIFY AB STOCKHOLM SUEDE,-9.99
10/12/2023,BASIC FIT SALLE DE SPORT,-29.99
12/12/2023,ADOBE CREATIVE CLOUD,-59.99
15/12/2023,MICROSOFT 365 FAMILLE,-10.00
18/12/2023,APPLE ICLOUD STOCKAGE,-2.99
20/12/2023,ORANGE INTERNET FIBRE,-39.99
25/12/2023,EDF ELECTRICITE MENSUEL,-87.20
01/01/2024,NETFLIX SERVICES ABONNEMENT,-15.99
03/01/2024,SPOTIFY AB STOCKHOLM SUEDE,-9.99
10/01/2024,BASIC FIT SALLE DE SPORT,-29.99
12/01/2024,ADOBE CREATIVE CLOUD,-59.99
15/01/2024,MICROSOFT 365 FAMILLE,-10.00
18/01/2024,APPLE ICLOUD STOCKAGE,-2.99
20/01/2024,ORANGE INTERNET FIBRE,-39.99
25/01/2024,EDF ELECTRICITE MENSUEL,-89.10
28/01/2024,CARREFOUR COURSES,-125.40
30/01/2024,TOTAL ENERGIES ESSENCE,-65.00
02/02/2024,PHARMACIE MEDICAMENTS,-23.50
